Date,Views
2015-07-01,20.38
2015-07-02,20.75
2015-07-03,19.57
2015-07-04,20.44
2015-07-05,20.77
2015-07-06,22.54
2015-07-07,21.21
2015-07-08,19.11
2015-07-09,19.99
2015-07-10,20.2
2015-07-11,19.7
2015-07-12,20.23
2015-07-13,20.52
2015-07-14,19.7
2015-07-15,19.56
2015-07-16,19.66
2015-07-17,18.99
2015-07-18,18.36
2015-07-19,18.83
2015-07-20,20.34
2015-07-21,19.74
2015-07-22,19.54
2015-07-23,19.62
2015-07-24,18.64
2015-07-25,19.32
2015-07-26,20.4
2015-07-27,20.16
2015-07-28,19.89
2015-07-29,27.56
2015-07-30,18.5
2015-07-31,17.93
2015-08-01,18.18
2015-08-02,19.41
2015-08-03,18.95
2015-08-04,20.53
2015-08-05,20.25
2015-08-06,20.06
2015-08-07,19.12
2015-08-08,19.44
2015-08-09,19.71
2015-08-10,19.85
2015-08-11,18.37
2015-08-12,19.39
2015-08-13,19.19
2015-08-14,19.45
2015-08-15,19.31
2015-08-16,19.68
2015-08-17,20.31
2015-08-18,20.08
2015-08-19,18.9
2015-08-20,19.09
2015-08-21,18.9
2015-08-22,18.8
2015-08-23,19.89
2015-08-24,20.21
2015-08-25,18.56
2015-08-26,18.09
2015-08-27,17.86
2015-08-28,17.29
2015-08-29,17.84
2015-08-30,18.2
2015-08-31,20.55
2015-09-01,18.08
2015-09-02,18.42
2015-09-03,17.85
2015-09-04,17.48
2015-09-05,17.9
2015-09-06,19.0
2015-09-07,19.74
2015-09-08,19.65
2015-09-09,18.61
2015-09-10,18.07
2015-09-11,18.56
2015-09-12,18.93
2015-09-13,19.06
2015-09-14,19.22
2015-09-15,19.27
2015-09-16,18.23
2015-09-17,18.2
2015-09-18,17.71
2015-09-19,17.85
2015-09-20,19.61
2015-09-21,20.8
2015-09-22,18.83
2015-09-23,19.59
2015-09-24,17.95
2015-09-25,17.81
2015-09-26,18.1
2015-09-27,18.7
2015-09-28,20.31
2015-09-29,17.54
2015-09-30,19.7
2015-10-01,18.84
2015-10-02,18.54
2015-10-03,18.3
2015-10-04,18.94
2015-10-05,19.28
2015-10-06,18.27
2015-10-07,18.84
2015-10-08,19.05
2015-10-09,18.44
2015-10-10,18.94
2015-10-11,19.12
2015-10-12,20.29
2015-10-13,19.56
2015-10-14,18.8
2015-10-15,18.82
2015-10-16,17.87
2015-10-17,18.04
2015-10-18,19.03
2015-10-19,21.35
2015-10-20,20.67
2015-10-21,21.55
2015-10-22,21.47
2015-10-23,18.92
2015-10-24,17.53
2015-10-25,20.1
2015-10-26,20.55
2015-10-27,20.89
2015-10-28,20.54
2015-10-29,18.82
2015-10-30,18.18
2015-10-31,18.12
2015-11-01,17.97
2015-11-02,21.33
2015-11-03,21.05
2015-11-04,20.02
2015-11-05,19.78
2015-11-06,18.06
2015-11-07,17.54
2015-11-08,18.54
2015-11-09,20.78
2015-11-10,19.63
2015-11-11,19.2
2015-11-12,18.8
2015-11-13,18.12
2015-11-14,18.07
2015-11-15,19.12
2015-11-16,20.88
2015-11-17,19.79
2015-11-18,19.89
2015-11-19,19.15
2015-11-20,17.57
2015-11-21,18.95
2015-11-22,19.46
2015-11-23,20.56
2015-11-24,19.45
2015-11-25,18.82
2015-11-26,18.14
2015-11-27,17.9
2015-11-28,19.15
2015-11-29,19.28
2015-11-30,21.37
2015-12-01,20.1
2015-12-02,18.21
2015-12-03,18.57
2015-12-04,17.96
2015-12-05,18.17
2015-12-06,18.41
2015-12-07,21.11
2015-12-08,20.08
2015-12-09,18.03
2015-12-10,16.57
2015-12-11,17.55
2015-12-12,16.26
2015-12-13,18.34
2015-12-14,19.25
2015-12-15,17.27
2015-12-16,17.62
2015-12-17,16.54
2015-12-18,16.28
2015-12-19,16.65
2015-12-20,16.68
2015-12-21,17.8
2015-12-22,17.44
2015-12-23,17.78
2015-12-24,17.21
2015-12-25,15.98
2015-12-26,17.89
2015-12-27,17.4
2015-12-28,18.94
2015-12-29,17.57
2015-12-30,17.38
2015-12-31,16.96
2016-01-01,16.36
2016-01-02,17.61
2016-01-03,17.54
2016-01-04,19.23
2016-01-05,18.14
2016-01-06,18.38
2016-01-07,17.28
2016-01-08,16.44
2016-01-09,16.44
2016-01-10,17.28
2016-01-11,19.1
2016-01-12,18.45
2016-01-13,17.2
2016-01-14,18.14
2016-01-15,17.46
2016-01-16,18.22
2016-01-17,18.7
2016-01-18,19.39
2016-01-19,19.66
2016-01-20,18.72
2016-01-21,18.93
2016-01-22,16.9
2016-01-23,17.53
2016-01-24,17.62
2016-01-25,20.1
2016-01-26,18.64
2016-01-27,19.26
2016-01-28,17.27
2016-01-29,17.16
2016-01-30,17.09
2016-01-31,18.36
2016-02-01,20.28
2016-02-02,18.92
2016-02-03,18.86
2016-02-04,18.48
2016-02-05,17.84
2016-02-06,18.59
2016-02-07,19.31
2016-02-08,20.74
2016-02-09,20.4
2016-02-10,17.8
2016-02-11,15.99
2016-02-12,16.62
2016-02-13,17.48
2016-02-14,18.73
2016-02-15,20.03
2016-02-16,20.58
2016-02-17,20.48
2016-02-18,18.84
2016-02-19,17.77
2016-02-20,17.82
2016-02-21,18.61
2016-02-22,20.42
2016-02-23,19.12
2016-02-24,18.96
2016-02-25,19.34
2016-02-26,18.11
2016-02-27,18.72
2016-02-28,19.8
2016-02-29,21.58
2016-03-01,19.91
2016-03-02,19.66
2016-03-03,21.09
2016-03-04,17.95
2016-03-05,19.49
2016-03-06,18.44
2016-03-07,19.34
2016-03-08,18.44
2016-03-09,18.14
2016-03-10,17.28
2016-03-11,15.68
2016-03-12,16.38
2016-03-13,14.68
2016-03-14,18.62
2016-03-15,16.79
2016-03-16,16.29
2016-03-17,16.04
2016-03-18,15.87
2016-03-19,14.5
2016-03-20,18.17482758620689
2016-03-21,15.32
2016-03-22,18.069999999999993
2016-03-23,15.11
2016-03-24,14.59
2016-03-25,17.672592592592586
2016-03-26,14.59
2016-03-27,15.33
2016-03-28,17.45
2016-03-29,15.72
2016-03-30,15.31
2016-03-31,14.51
2016-04-01,16.65192307692307
2016-04-02,15.13
2016-04-03,16.17
2016-04-04,18.15
2016-04-05,17.0
2016-04-06,17.03
2016-04-07,16.82
2016-04-08,16.18
2016-04-09,17.17
2016-04-10,17.37
2016-04-11,19.21
2016-04-12,18.44
2016-04-13,17.13
2016-04-14,17.17
2016-04-15,16.61
2016-04-16,17.18
2016-04-17,17.53
2016-04-18,20.15
2016-04-19,18.55
2016-04-20,17.68
2016-04-21,15.7
2016-04-22,15.58
2016-04-23,16.67
2016-04-24,17.78
2016-04-25,20.18
2016-04-26,17.81
2016-04-27,17.62
2016-04-28,17.92
2016-04-29,16.02
2016-04-30,17.19
2016-05-01,18.2
2016-05-02,19.71
2016-05-03,19.15
2016-05-04,18.69
2016-05-05,16.77
2016-05-06,16.41
2016-05-07,17.23
2016-05-08,17.88
2016-05-09,19.26
2016-05-10,18.92
2016-05-11,18.15
2016-05-12,18.43
2016-05-13,16.81
2016-05-14,18.16
2016-05-15,19.18
2016-05-16,21.1
2016-05-17,18.96
2016-05-18,17.96
2016-05-19,17.64
2016-05-20,16.16
2016-05-21,17.89
2016-05-22,15.63
2016-05-23,19.55
2016-05-24,18.48
2016-05-25,18.78
2016-05-26,17.9
2016-05-27,16.35
2016-05-28,18.1
2016-05-29,19.0
2016-05-30,19.55
2016-05-31,19.03
2016-06-01,18.73
2016-06-02,17.31
2016-06-03,15.92
2016-06-04,15.62
2016-06-05,18.88
2016-06-06,21.89
2016-06-07,19.1
2016-06-08,20.11
2016-06-09,18.97
2016-06-10,17.79
2016-06-11,20.3
2016-06-12,21.56
2016-06-13,22.99
2016-06-14,21.6
2016-06-15,19.54
2016-06-16,18.2
2016-06-17,16.32
2016-06-18,18.41
2016-06-19,19.03
2016-06-20,20.93
2016-06-21,19.77
2016-06-22,19.88
2016-06-23,19.59
2016-06-24,17.87
2016-06-25,19.31
2016-06-26,20.25
2016-06-27,18.67
2016-06-28,20.02
2016-06-29,19.58
2016-06-30,23.21
2016-07-01,17.24
2016-07-02,20.22
2016-07-03,20.83
2016-07-04,21.62
2016-07-05,18.72
2016-07-06,14.51
2016-07-07,14.88
2016-07-08,16.1
2016-07-09,18.41
2016-07-10,20.36
2016-07-11,21.42
2016-07-12,20.02
2016-07-13,19.22
2016-07-14,19.21
2016-07-15,17.86
2016-07-16,20.21
2016-07-17,20.72
2016-07-18,22.11
2016-07-19,20.95
2016-07-20,19.40551724137932
2016-07-21,19.392500000000013
2016-07-22,19.374444444444457
2016-07-23,19.36615384615386
2016-07-24,19.426000000000016
2016-07-25,19.43083333333335
2016-07-26,19.395217391304364
2016-07-27,19.428181818181834
2016-07-28,19.400000000000016
2016-07-29,19.39100000000002
2016-07-30,19.190000000000023
2016-07-31,19.298333333333357
2016-08-01,19.24411764705885
2016-08-02,19.145000000000028
2016-08-03,18.98000000000003
2016-08-04,18.998571428571463
2016-08-05,19.34384615384619
2016-08-06,19.715833333333375
2016-08-07,20.0445454545455
2016-08-08,20.208000000000048
2016-08-09,20.191111111111166
2016-08-10,20.03750000000006
2016-08-11,20.040000000000067
2016-08-12,20.176666666666744
2016-08-13,20.37000000000009
2016-08-14,20.997500000000112
2016-08-15,21.26000000000015
2016-08-16,21.530000000000225
2016-08-17,24.93
2016-08-18,22.3
2016-08-19,20.31
2016-08-20,23.25
2016-08-21,23.95
2016-08-22,25.94
2016-08-23,25.35
2016-08-24,24.11
2016-08-25,22.25
2016-08-26,20.79
2016-08-27,25.42
2016-08-28,26.54
2016-08-29,23.761666666666702
2016-08-30,23.761666666666702
2016-08-31,23.761666666666702
2016-09-01,23.761666666666702
2016-09-02,23.761666666666702
2016-09-03,23.761666666666702
